marca;motor;preco;massa[g];link;diametro;passo;pa;Throttle100Pot[W];Throttle100tracao0[g];T100tracao9;T100tracao18;T100tracao27;T100tracao36;T100tracao45;T100tracao54;T100tracao63;T100tracao72;T100tracao81;T100tracao90;T100tracao99;T100tracao108;T100tracao117;T100tracao126;T100tracao135;Throttle100Ef[%];Pot≈600Throttle[%];Pot≈600Pot[W];Pot≈600Ef[%];Pot≈600Tracao[g]
T-Motor;T-Motor MN505-S KV380;;1106;;19;8.0;2;1417.3;6907;6871;6760;6575;6316;5984;5577;5097;4543;3914;3212;2436;1587;663;-;-;88.1;82;611.2;88;1451
Scorpion;Scorpion SII-4025-330;;965;;19;10.0;2;1705.5;6689;6655;6553;6385;6148;5844;5473;5034;4527;3953;3312;2602;1826;981;70;-;90.8;86;585.1;90.9;1592
T-Motor;T-Motor MN605-S KV320;;1106;;19;11.0;2;1432.7;7494;7462;7365;7203;6977;6686;6331;5911;5427;4878;4264;3586;2843;2036;1164;227;89.6;85;637.2;89.2;1740
T-Motor;T-Motor P60-340;;1065;;19;8.0;2;1575.4;5881;5844;5734;5549;5290;4958;4551;4071;3517;2888;2186;1410;561;-;-;-;84.1;92;641;83.9;1451
SunnySky;SunnySky X6215S-350;;1134;;18;10.0;2;1365.3;6441;6411;6323;6175;5968;5702;5377;4992;4549;4046;3485;2864;2184;1445;646;-;83;84;624.9;82.6;1592
Scorpion;Scorpion HK5-4026-385;;1112;;18;7.0;2;1462.4;5637;5603;5501;5331;5092;4786;4411;3968;3457;2878;2231;1515;732;-;-;-;89.6;91;637.2;89.5;1451
T-Motor;T-Motor F1000-300;;1122;;20;10.0;2;1356.4;6494;6456;6341;6150;5882;5538;5117;4619;4045;3394;2667;1864;983;27;-;-;86.6;92;634.1;86.4;1592
Scorpion;Scorpion SII-4025-330;;1157;;19;11.0;2;1371.4;7123;7091;6994;6832;6606;6315;5960;5540;5056;4507;3893;3215;2472;1665;793;-;90.2;85;628;90.5;1740
T-Motor;T-Motor MN605-S KV320;;1106;;20;9.0;2;1515.5;7142;7102;6982;6783;6503;6144;5704;5185;4586;3907;3148;2309;1390;391;-;-;89.3;86;576.3;88.8;1451
T-Motor;T-Motor MN705-S KV260;;1065;;20;12.0;2;1579.8;7022;6987;6881;6705;6459;6143;5756;5299;4772;4174;3506;2767;1959;1080;130;-;89;94;621;88.6;1740
Scorpion;Scorpion SII-4035-330;;1212;;19;8.0;2;1299.1;5859;5822;5711;5526;5267;4935;4528;4048;3494;2866;2164;1388;538;-;-;-;89.7;93;600.9;89.5;1451
SunnySky;SunnySky X6215S-350;;1196;;19;8.0;2;1288.2;6073;6036;5926;5741;5482;5150;4743;4263;3709;3080;2378;1602;753;-;-;-;82.4;85;568.7;81.7;1316
Scorpion;Scorpion SII-4035-330;;1112;;18;10.0;2;1456.5;6215;6185;6097;5949;5742;5476;5151;4766;4323;3820;3259;2638;1958;1219;420;-;89.7;88;577.2;89.4;1592
Scorpion;Scorpion HK5-4030-355;;1196;;18;8.0;2;1294.0;5669;5637;5539;5377;5149;4857;4499;4076;3589;3036;2418;1736;988;175;-;-;87.1;90;602.5;86.8;1451
T-Motor;T-Motor P60-340;;1179;;18;11.0;2;1286.3;6661;6633;6548;6407;6209;5955;5645;5278;4855;4375;3839;3246;2597;1892;1130;312;84.9;81;570;84.7;1592
T-Motor;T-Motor AT4130-300 (Long Shaft);;1134;;20;10.0;2;1450.4;6726;6688;6573;6382;6114;5770;5349;4851;4277;3626;2899;2096;1215;259;-;-;88.4;91;621.3;88.1;1592
T-Motor;T-Motor MN4120-400;;1163;;18;9.0;2;1408.5;7121;7090;6997;6842;6625;6346;6005;5602;5137;4610;4021;3370;2657;1882;1045;146;89.4;79;619.7;89.6;1592
Scorpion;Scorpion SII-4025-330;;996;;20;9.0;2;1725.8;6787;6747;6627;6427;6147;5788;5348;4829;4230;3551;2792;1953;1034;36;-;-;90.9;85;562.3;91;1451
